#iter#, n-nprime, m-mprime
#chemical potential mu= 4.8 U= 6.0 T= 0.01
167 -5.13954528492e-07 9.66231300009e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.0610256410256
2 6.71759404482e-05 3.29096974303e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.112051282051
2 7.76290044122e-05 2.90857687156e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.163076923077
3 3.87695435777e-06 2.30333314241e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.214102564103
3 3.45134564594e-06 1.76790965562e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.265128205128
3 2.79952628279e-06 1.3943286693e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.316153846154
3 2.42990858235e-06 1.19198146452e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.367179487179
3 2.480538007e-06 1.13890319332e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.418205128205
3 2.93976733068e-06 1.18052190672e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.469230769231
3 3.80798914956e-06 1.28093366662e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.520256410256
3 5.0997917902e-06 1.40777819264e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.571282051282
3 6.83099440568e-06 1.53553104055e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.622307692308
3 9.02038096262e-06 1.64480740228e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.673333333333
3 1.16786908004e-05 1.72225184352e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.724358974359
3 1.48131513806e-05 1.75986266341e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.775384615385
3 1.84256100895e-05 1.75446291662e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.82641025641
3 2.25113234795e-05 1.70704764416e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.877435897436
3 2.70578965766e-05 1.62197652012e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.928461538462
3 3.20447345215e-05 1.50604075172e-05
#chemical potential mu= 4.8 U= 6.0 T= 0.979487179487
3 3.74431419998e-05 1.36747548954e-05
#chemical potential mu= 4.8 U= 6.0 T= 1.03051282051
3 4.3217027444e-05 1.21500780871e-05
#chemical potential mu= 4.8 U= 6.0 T= 1.08153846154
3 4.93240717274e-05 1.05702636786e-05
#chemical potential mu= 4.8 U= 6.0 T= 1.13256410256
3 5.57171860542e-05 9.00937552091e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.18358974359
3 6.23460917095e-05 7.52742150996e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.23461538462
3 6.91588832225e-05 6.16834219754e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.28564102564
3 7.61034733119e-05 4.95996384533e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.33666666667
3 8.31288540226e-05 3.91547257978e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.38769230769
3 9.01861400451e-05 3.03588385316e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.43871794872
3 9.72293842896e-05 2.31299083419e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.48974358974
4 1.58774079799e-05 1.46848483418e-06
#chemical potential mu= 4.8 U= 6.0 T= 1.54076923077
4 1.72481152947e-05 9.10347395064e-07
#chemical potential mu= 4.8 U= 6.0 T= 1.59179487179
4 1.89484702098e-05 5.51347077901e-07
#chemical potential mu= 4.8 U= 6.0 T= 1.64282051282
4 2.06800597611e-05 3.26392230384e-07
#chemical potential mu= 4.8 U= 6.0 T= 1.69384615385
4 2.24319024433e-05 1.88957726234e-07
#chemical potential mu= 4.8 U= 6.0 T= 1.74487179487
4 2.4194577432e-05 1.07030956749e-07
#chemical potential mu= 4.8 U= 6.0 T= 1.7958974359
4 2.59592043816e-05 5.93445041006e-08
#chemical potential mu= 4.8 U= 6.0 T= 1.84692307692
4 2.77175132453e-05 3.22240785737e-08
#chemical potential mu= 4.8 U= 6.0 T= 1.89794871795
4 2.94618942545e-05 1.71438410622e-08
#chemical potential mu= 4.8 U= 6.0 T= 1.94897435897
4 3.11854263551e-05 8.94042862575e-09
#chemical potential mu= 4.8 U= 6.0 T= 2.0
4 3.28818877346e-05 4.57217300208e-09
643e-05 5.30682124313e-08
