#iter#, mu-muprime, m-mprime
#occupation n= 1.35 U= 6.0 T= 0.01
118 2.66661768578e-06 9.79682428682e-05
#occupation n= 1.35 U= 6.0 T= 0.0437288135593
7 -3.27890738836e-05 9.99086933046e-05
#occupation n= 1.35 U= 6.0 T= 0.0774576271186
6 -7.82165062132e-05 7.3114172557e-05
#occupation n= 1.35 U= 6.0 T= 0.111186440678
7 -6.31929404333e-05 4.94817521079e-05
#occupation n= 1.35 U= 6.0 T= 0.144915254237
7 -8.93381279763e-05 3.35347625242e-05
#occupation n= 1.35 U= 6.0 T= 0.178644067797
8 -5.85498636871e-05 2.16994794721e-05
#occupation n= 1.35 U= 6.0 T= 0.212372881356
8 -7.09225755697e-05 1.42640613008e-05
#occupation n= 1.35 U= 6.0 T= 0.246101694915
8 -8.15084696519e-05 9.66336524656e-06
#occupation n= 1.35 U= 6.0 T= 0.279830508475
8 -8.96785873428e-05 6.70650786595e-06
#occupation n= 1.35 U= 6.0 T= 0.313559322034
8 -9.56228851097e-05 4.77276277322e-06
#occupation n= 1.35 U= 6.0 T= 0.347288135593
8 -9.9845734975e-05 3.46773398329e-06
#occupation n= 1.35 U= 6.0 T= 0.381016949153
9 -5.13395863848e-05 2.44379801883e-06
#occupation n= 1.35 U= 6.0 T= 0.414745762712
9 -5.20695312707e-05 1.7331462816e-06
#occupation n= 1.35 U= 6.0 T= 0.448474576271
9 -5.2670584477e-05 1.22809006055e-06
#occupation n= 1.35 U= 6.0 T= 0.482203389831
9 -5.30697354471e-05 8.63579678544e-07
#occupation n= 1.35 U= 6.0 T= 0.51593220339
9 -5.33506714104e-05 5.99052026158e-07
#occupation n= 1.35 U= 6.0 T= 0.549661016949
9 -5.35580943799e-05 4.07861831204e-07
#occupation n= 1.35 U= 6.0 T= 0.583389830508
9 -5.3778231468e-05 2.71356382746e-07
#occupation n= 1.35 U= 6.0 T= 0.617118644068
9 -5.40237474409e-05 1.75783150126e-07
#occupation n= 1.35 U= 6.0 T= 0.650847457627
9 -5.43134986044e-05 1.10539472369e-07
#occupation n= 1.35 U= 6.0 T= 0.684576271186
9 -5.46579918881e-05 6.73086492571e-08
#occupation n= 1.35 U= 6.0 T= 0.718305084746
9 -5.50616686574e-05 3.96030318996e-08
#occupation n= 1.35 U= 6.0 T= 0.752033898305
9 -5.55247184533e-05 2.24766001407e-08
#occupation n= 1.35 U= 6.0 T= 0.785762711864
9 -5.60444572404e-05 1.22869161577e-08
#occupation n= 1.35 U= 6.0 T= 0.819491525424
9 -5.66163586777e-05 6.46153170338e-09
#occupation n= 1.35 U= 6.0 T= 0.853220338983
9 -5.7234813851e-05 3.26565496586e-09
#occupation n= 1.35 U= 6.0 T= 0.886949152542
9 -5.78936802151e-05 1.58482649052e-09
#occupation n= 1.35 U= 6.0 T= 0.920677966102
9 -5.85866701632e-05 7.38042222382e-10
#occupation n= 1.35 U= 6.0 T= 0.954406779661
9 -5.93076177831e-05 3.2963101578e-10
#occupation n= 1.35 U= 6.0 T= 0.98813559322
9 -6.00506547856e-05 1.41133860345e-10
#occupation n= 1.35 U= 6.0 T= 1.02186440678
9 -6.0810320023e-05 5.79128380675e-11
#occupation n= 1.35 U= 6.0 T= 1.05559322034
9 -6.15816196046e-05 2.27676846438e-11
#occupation n= 1.35 U= 6.0 T= 1.0893220339
9 -6.23600531702e-05 8.57393629712e-12
#occupation n= 1.35 U= 6.0 T= 1.12305084746
9 -6.31416155255e-05 3.10472444309e-12
#occupation n= 1.35 U= 6.0 T= 1.15677966102
9 -6.39227820489e-05 1.07419796655e-12
#occupation n= 1.35 U= 6.0 T= 1.19050847458
9 -6.47004837946e-05 3.51572293467e-13
#occupation n= 1.35 U= 6.0 T= 1.22423728814
9 -6.54720758453e-05 1.06844950292e-13
#occupation n= 1.35 U= 6.0 T= 1.25796610169
9 -6.62353028495e-05 3.97279317762e-14
#occupation n= 1.35 U= 6.0 T= 1.29169491525
9 -6.69882630655e-05 8.820130996e-15
#occupation n= 1.35 U= 6.0 T= 1.32542372881
9 -6.77293728568e-05 3.42063386181e-15
#occupation n= 1.35 U= 6.0 T= 1.35915254237
9 -6.84573324436e-05 3.11427666515e-17
#occupation n= 1.35 U= 6.0 T= 1.39288135593
9 -6.9171093692e-05 4.971199273e-16
#occupation n= 1.35 U= 6.0 T= 1.42661016949
9 -6.98698300265e-05 6.27868340596e-18
#occupation n= 1.35 U= 6.0 T= 1.46033898305
9 -7.0552908892e-05 2.45261070545e-20
#occupation n= 1.35 U= 6.0 T= 1.49406779661
9 -7.12198666655e-05 9.58051056817e-23
#occupation n= 1.35 U= 6.0 T= 1.52779661017
9 -7.18703860363e-05 3.74238694069e-25
#occupation n= 1.35 U= 6.0 T= 1.56152542373
9 -7.25042757201e-05 1.46186989871e-27
#occupation n= 1.35 U= 6.0 T= 1.59525423729
9 -7.31214523721e-05 5.71042929183e-30
#occupation n= 1.35 U= 6.0 T= 1.62898305085
9 -7.37219245401e-05 2.23063644212e-32
#occupation n= 1.35 U= 6.0 T= 1.66271186441
9 -7.43057785018e-05 8.71342360203e-35
#occupation n= 1.35 U= 6.0 T= 1.69644067797
9 -7.48731657847e-05 3.40368109454e-37
