#iter#, mu-muprime, m-mprime
#occupation n= 1.2 U= 10.0 T= 0.01
27 8.92571109752e-05 -3.13817541832e-05
#occupation n= 1.2 U= 9.83050847458 T= 0.01
18 6.52637945961e-05 -2.93188837885e-05
#occupation n= 1.2 U= 9.66101694915 T= 0.01
18 6.90172955702e-05 -2.6971655856e-05
#occupation n= 1.2 U= 9.49152542373 T= 0.01
18 7.19807949503e-05 -2.47783224381e-05
#occupation n= 1.2 U= 9.32203389831 T= 0.01
18 7.42449398325e-05 -2.2721954189e-05
#occupation n= 1.2 U= 9.15254237288 T= 0.01
18 7.58777845498e-05 -2.07932676771e-05
#occupation n= 1.2 U= 8.98305084746 T= 0.01
18 7.69404774905e-05 -1.89856995962e-05
#occupation n= 1.2 U= 8.81355932203 T= 0.01
18 7.74896749363e-05 -1.72911507379e-05
#occupation n= 1.2 U= 8.64406779661 T= 0.01
18 7.75750054505e-05 -1.57016226535e-05
#occupation n= 1.2 U= 8.47457627119 T= 0.01
18 7.72484215918e-05 -1.42129600452e-05
#occupation n= 1.2 U= 8.30508474576 T= 0.01
18 7.65527058997e-05 -1.28190371389e-05
#occupation n= 1.2 U= 8.13559322034 T= 0.01
18 7.55271651443e-05 -1.15140580826e-05
#occupation n= 1.2 U= 7.96610169492 T= 0.01
18 7.42088473604e-05 -1.02930509197e-05
#occupation n= 1.2 U= 7.79661016949 T= 0.01
18 7.26315495569e-05 -9.1514309426e-06
#occupation n= 1.2 U= 7.62711864407 T= 0.01
18 7.08272646994e-05 -8.08498001148e-06
#occupation n= 1.2 U= 7.45762711864 T= 0.01
18 6.89149240376e-05 -7.07725895599e-06
#occupation n= 1.2 U= 7.28813559322 T= 0.01
21 -9.87631574878e-05 -9.70726700183e-05
#occupation n= 1.2 U= 7.1186440678 T= 0.01
35 9.27844914322e-05 9.26105084956e-05
#occupation n= 1.2 U= 6.94915254237 T= 0.01
29 8.51389251322e-05 9.01757807941e-05
#occupation n= 1.2 U= 6.77966101695 T= 0.01
38 6.00442822378e-05 8.85695353648e-05
#occupation n= 1.2 U= 6.61016949153 T= 0.01
28 2.42367497716e-05 8.56669410718e-05
#occupation n= 1.2 U= 6.4406779661 T= 0.01
43 4.99694480567e-05 9.91031112614e-05
#occupation n= 1.2 U= 6.27118644068 T= 0.01
43 9.91218846824e-05 9.01357120771e-05
#occupation n= 1.2 U= 6.10169491525 T= 0.01
29 9.09062241821e-05 6.5134532319e-05
#occupation n= 1.2 U= 5.93220338983 T= 0.01
31 8.04452821903e-05 3.46920218333e-05
#occupation n= 1.2 U= 5.76271186441 T= 0.01
34 9.24116319334e-05 5.63552472336e-05
#occupation n= 1.2 U= 5.59322033898 T= 0.01
50 6.97897556794e-05 9.63872339769e-05
#occupation n= 1.2 U= 5.42372881356 T= 0.01
60 4.43584085077e-05 9.98974135924e-05
#occupation n= 1.2 U= 5.25423728814 T= 0.01
165 3.43522976864e-06 9.01061923935e-05
#occupation n= 1.2 U= 5.08474576271 T= 0.01
11 9.96560017938e-05 2.95216390354e-05
#occupation n= 1.2 U= 4.91525423729 T= 0.01
11 9.94336764037e-05 8.25496675835e-06
#occupation n= 1.2 U= 4.74576271186 T= 0.01
11 9.94098741187e-05 1.97691370718e-06
#occupation n= 1.2 U= 4.57627118644 T= 0.01
11 9.94085730421e-05 4.04982510388e-07
#occupation n= 1.2 U= 4.40677966102 T= 0.01
11 9.94085208834e-05 7.08602847414e-08
#occupation n= 1.2 U= 4.23728813559 T= 0.01
11 9.94085193402e-05 1.0571373941e-08
#occupation n= 1.2 U= 4.06779661017 T= 0.01
11 9.94085193149e-05 1.34209585649e-09
#occupation n= 1.2 U= 3.89830508475 T= 0.01
11 9.94085193113e-05 1.44690873952e-10
#occupation n= 1.2 U= 3.72881355932 T= 0.01
11 9.94085193091e-05 1.32175644704e-11
#occupation n= 1.2 U= 3.5593220339 T= 0.01
11 9.94085193131e-05 1.01986434021e-12
#occupation n= 1.2 U= 3.38983050847 T= 0.01
11 9.94085193118e-05 6.69316079692e-14
#occupation n= 1.2 U= 3.22033898305 T= 0.01
11 9.94085193087e-05 3.52949725972e-15
#occupation n= 1.2 U= 3.05084745763 T= 0.01
11 9.94085193105e-05 5.07600784873e-16
#occupation n= 1.2 U= 2.8813559322 T= 0.01
11 9.94085193096e-05 1.90516671571e-18
#occupation n= 1.2 U= 2.71186440678 T= 0.01
11 9.940851931e-05 1.86051437081e-21
#occupation n= 1.2 U= 2.54237288136 T= 0.01
11 9.94085193096e-05 1.81690856524e-24
#occupation n= 1.2 U= 2.37288135593 T= 0.01
11 9.94085193105e-05 1.77432477075e-27
#occupation n= 1.2 U= 2.20338983051 T= 0.01
11 9.940851931e-05 1.73273903393e-30
#occupation n= 1.2 U= 2.03389830508 T= 0.01
11 9.94085193102e-05 1.69212796282e-33
#occupation n= 1.2 U= 1.86440677966 T= 0.01
