#iter#, mu-muprime, mQ-mQprime
31 -9.68857464985e-05 -2.72340025674e-05
34 -7.90386089295e-05 -1.51455783001e-05
34 -8.05302899047e-05 -1.52471043997e-05
34 -8.03341583833e-05 -1.4844090383e-05
34 -8.03847597093e-05 -1.45040486828e-05
34 -8.03840260066e-05 -1.40849629201e-05
34 -8.03005451548e-05 -1.36092290959e-05
34 -8.00211670231e-05 -1.31318670621e-05
34 -7.98144923388e-05 -1.28065192558e-05
34 -8.00865914656e-05 -1.28322664162e-05
34 -8.08481960479e-05 -1.32728775002e-05
34 -8.22072908828e-05 -1.4232501131e-05
34 -8.35812688689e-05 -1.55754165488e-05
34 -8.35909141887e-05 -1.69200160824e-05
34 -8.11210409744e-05 -1.78939087944e-05
33 -9.45786080382e-05 -2.34396771773e-05
32 -9.06919639705e-05 -2.53218432039e-05
24 8.68299423524e-05 -3.51344908768e-05
28 7.46558191851e-05 1.20930931548e-05
32 9.86064912132e-05 3.00233403219e-05
37 8.39673769528e-05 2.91799854359e-05
40 9.49698080692e-05 3.62337259764e-05
44 9.08670010531e-05 3.8036179138e-05
48 9.03998638337e-05 4.16152572141e-05
52 9.42221272981e-05 4.79121274202e-05
57 9.35494035257e-05 5.28744810046e-05
62 9.94471108127e-05 6.29691003451e-05
69 9.7551063704e-05 6.99754616026e-05
77 9.89976769399e-05 8.15850389032e-05
88 9.59163013072e-05 9.27007761088e-05
105 8.50780787018e-05 9.9594264305e-05
135 6.57683272263e-05 9.8808825925e-05
191 4.54047302481e-05 9.90822241296e-05
300 2.33022378442e-05 0.000107525517283
300 9.15920112687e-06 0.000118309415894
259 3.46660524086e-06 9.91388946181e-05
213 2.35312823316e-06 9.934393149e-05
182 1.78264052964e-06 9.97115918927e-05
160 1.42129454761e-06 9.96074796872e-05
144 1.13718600003e-06 9.7744456901e-05
131 9.66208326236e-07 9.74919630795e-05
120 8.74926960881e-07 9.93676492146e-05
112 7.30678100025e-07 9.64981057841e-05
104 7.02065984015e-07 9.9885882616e-05
98 6.23055083082e-07 9.88544136113e-05
93 5.45000148122e-07 9.6711072602e-05
88 5.20518156355e-07 9.85030981548e-05
84 4.72796142681e-07 9.75330771561e-05
80 4.60697801685e-07 9.97492261523e-05
77 4.11869623518e-07 9.74797090893e-05
