#iter#, mu-muprime, m-mprime
200 -0.000387497125464 0.00100249389187
52 9.23914196642e-05 2.56529759673e-05
53 1.80316085752e-05 4.17814282567e-05
47 -7.94012923919e-05 -8.48026146781e-05
48 3.10256396769e-05 -6.95760422878e-05
48 -1.82539210729e-05 -4.53447958186e-05
43 -3.87974088223e-05 9.36665013123e-05
43 7.1436438035e-05 5.11493996384e-05
44 4.93216178514e-05 2.79750204136e-05
39 -7.79877488555e-05 -6.24168278623e-05
40 -8.45041502242e-05 -2.48601422029e-05
36 -1.82528620869e-05 8.46482095399e-05
37 6.95380613758e-05 3.11127576283e-05
38 9.19600074289e-05 -3.24944539681e-06
34 -8.0021908452e-05 -3.95289794721e-05
36 -9.70300596577e-05 4.53875516149e-06
32 2.64018834055e-05 7.02543175309e-05
37 7.52158224657e-05 -6.77396516546e-06
43 8.68151280118e-05 -3.47779387741e-05
49 9.22322618309e-05 -5.45598472299e-05
53 9.29658733626e-05 -7.60951972584e-05
27 8.12165665489e-05 -9.8366173104e-05
83 -5.19202793023e-05 9.8608601562e-05
185 -1.23666057348e-05 9.99443552325e-05
135 -4.1949916425e-06 9.87828524886e-05
103 -2.63481440377e-06 9.88123476773e-05
85 -1.9779000906e-06 9.86155969971e-05
74 -1.52629896344e-06 9.54554478811e-05
66 -1.29549371541e-06 9.44262462273e-05
60 -1.15194124173e-06 9.40137357589e-05
55 -1.12581671963e-06 9.69530446619e-05
52 -9.11567187289e-07 9.02174471207e-05
49 -8.50239454842e-07 8.94373128205e-05
46 -9.09139435734e-07 9.44302451717e-05
44 -9.03789256768e-07 9.26335717893e-05
42 -8.61678396857e-07 9.4629948073e-05
41 -7.03614462694e-07 8.62604085884e-05
39 -8.3334788159e-07 9.45319545472e-05
38 -7.60866325056e-07 9.06100932035e-05
37 -7.25619727859e-07 8.86137164521e-05
36 -7.22479680526e-07 8.83509520311e-05
35 -7.49951413193e-07 8.97615790805e-05
34 -8.10291111542e-07 9.28683844201e-05
33 -9.10599634141e-07 9.77982821271e-05
33 -6.16013593024e-07 8.42207008469e-05
32 -8.18225557753e-07 9.10433120609e-05
32 -6.34680986433e-07 7.93171632445e-05
31 -8.04644749497e-07 8.79389631717e-05
30 -1.04856517869e-06 9.89797043524e-05
30 -8.52622959346e-07 8.79199117735e-05
